ID,GEOID,pctWhite,pctMinority,pctUnder30Min,pct30to60Min,pctOver60Min,pctBachelorsOrHigher,pctInPoverty,perCapitaIncome,pctRentalRate
1,15000US060014516023,0.9163,0.0837,0.5796,0.2772,0.1432,0.5053,0.0455,49127,0.1701
2,15000US060014516024,0.7614,0.2386,0.5088,0.3905,0.1007,0.484,0.0025,46482,0.0282
3,15000US060014517011,0.8559,0.1441,0.2308,0.5161,0.2531,0.4259,0.0209,44993,0.2923
4,15000US060014517012,0.817,0.183,0.6199,0.117,0.2632,0.3145,0.0645,36780,0.278
5,15000US060014514042,0.3921,0.6079,0.643,0.2553,0.1016,0.264,0.0475,21299,0.3753
6,15000US060014511021,0.9324,0.0676,0.6817,0.158,0.1603,0.5229,0.067,64298,0.023
7,15000US060014512011,0.7855,0.2145,0.5612,0.268,0.1709,0.3907,0.1243,39254,0.2909
8,15000US060014512012,0.6638,0.3362,0.5231,0.3392,0.1377,0.3197,0.0342,43777,0.2035
9,15000US060014512013,0.6185,0.3815,0.5355,0.3792,0.0854,0.344,0,35212,0.4596
10,15000US060014513001,0.7315,0.2685,0.5335,0.3245,0.1419,0.2888,0.0873,39518,0.2402
11,15000US060014513002,0.6096,0.3904,0.5831,0.2141,0.2028,0.3113,0.0515,35049,0.1072
12,15000US060014514011,0.6735,0.3265,0.5,0.4444,0.0556,0.3951,0.169,35238,0.6883
13,15000US060014512022,0.8657,0.1343,0.4618,0.3961,0.1421,0.3329,0,36764,0.0968
14,15000US060014515031,0.8931,0.1069,0.5549,0.1903,0.2547,0.4014,0.0343,43572,0.2627
15,15000US060014517013,0.8114,0.1886,0.621,0.2711,0.1079,0.3259,0.0514,36502,0.0909
16,15000US060014514012,0.9021,0.0979,0.4899,0.2492,0.2609,0.5494,0,70267,0.0691
17,15000US060014514013,0.7735,0.2265,0.7124,0.1564,0.1312,0.3081,0.132,24566,0.6366
18,15000US060014517043,0.7426,0.2574,0.5256,0.2598,0.2146,0.3406,0.1506,32342,0.6526
19,15000US060014515032,0.598,0.402,0.5789,0.2759,0.1451,0.2857,0.0119,30225,0.3865
20,15000US060014515034,0.354,0.646,0.605,0.2393,0.1558,0.2565,0.1869,23573,0.4144
21,15000US060014516011,0.9162,0.0838,0.5942,0.2602,0.1456,0.5462,0.0112,50847,0.4588
22,15000US060014516012,0.897,0.103,0.4663,0.3477,0.1859,0.6238,0.0375,63056,0.1277
23,15000US060014516021,0.7729,0.2271,0.5385,0.4113,0.0502,0.379,0.0807,32582,0.7391
24,15000US060014516022,0.6735,0.3265,0.6947,0.2566,0.0487,0.4491,0.014,47993,0.5322
25,15000US060014515051,0.9281,0.0719,0.6085,0.2137,0.1778,0.5332,0,69249,0.1058
26,15000US060014517041,0.7561,0.2439,0.5522,0.3233,0.1245,0.5346,0.0333,52757,0.2723
27,15000US060014517042,0.9014,0.0986,0.623,0.2394,0.1376,0.4481,0.0298,50304,0.2194
28,15000US060014515052,0.8319,0.1681,0.6538,0.1825,0.1637,0.3882,0.0154,59427,0.1301
29,15000US060014515061,0.5638,0.4362,0.5717,0.3217,0.1067,0.3317,0.0549,37252,0.4541
30,15000US060014512021,0.7177,0.2823,0.5276,0.2757,0.1968,0.4514,0.042,52851,0.0598
31,15000US060014515011,0.6587,0.3413,0.6602,0.2658,0.074,0.21,0.033,34680,0.6836
32,15000US060014515012,0.9228,0.0772,0.634,0.1834,0.1826,0.5749,0.0114,56142,0.0572
33,15000US060014515033,1,0,0.3167,0.4625,0.2208,0.2485,0.0339,34052,0.0966
34,15000US060014511011,0.9629,0.0371,0.1976,0.5346,0.2678,0.5484,0.0521,60175,0.1054
35,15000US060014512023,0.6383,0.3617,0.495,0.3146,0.1904,0.2133,0.0043,37015,0.2014
36,15000US060014511012,0.6957,0.3043,0.4421,0.4137,0.1442,0.4389,0.0558,46209,0.2433
37,15000US060014513003,0.9123,0.0877,0.5869,0.2311,0.182,0.4506,0.0493,42453,0.2808
38,15000US060014511022,0.9034,0.0966,0.4166,0.3786,0.2048,0.6466,0.0478,64421,0.0261
39,15000US060014514031,0.6028,0.3972,0.586,0.242,0.172,0.2318,0.1059,38728,0.2372
40,15000US060014514032,0.7832,0.2168,0.6257,0.2179,0.1564,0.3845,0.0246,40450,0.1659
41,15000US060014514041,0.6628,0.3372,0.5816,0.3324,0.086,0.3042,0.1171,35487,0.2513
42,15000US060014511014,0,0,0,0,0,0,0,0,0
43,15000US060014514043,0.3985,0.6015,0.7049,0.2726,0.0226,0.1179,0.106,20097,0.8442
44,15000US060014517031,0.7097,0.2903,0.4366,0.3342,0.2292,0.2575,0.0391,34638,0.3165
45,15000US060014517032,0.8672,0.1328,0.5131,0.2729,0.214,0.5686,0.0349,53380,0.0759
46,15000US060014511015,0.8065,0.1935,0.4663,0.272,0.2617,0.4673,0.0358,88078,0.07
47,15000US060014507521,0.7414,0.2586,0.3141,0.3219,0.364,0.6132,0.0108,59336,0.1311
48,15000US060014515062,0.2826,0.7174,0.5928,0.3293,0.0778,0.2137,0.2337,21415,0.8049
49,15000US060014515041,0.7749,0.2251,0.5602,0.2832,0.1565,0.4555,0.0299,44778,0.3034
